,Product,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
0,Banana,1961,33621980.0,360000.0,0.0107072815,10.7072815,9.917399,,36300.0,0.0010796508,10.796508,,,,,,5000.0,0.00014871224,0.14871224,355000.0,0.010558569,10.558569,319000.0,0.009487841,9.487841,,,,,,,36000.0,0.0010707282,1.0707282,9.473511,25.954824397986,16.354164,0.21186765,0.05044468
1,Banana,1962,34533890.0,362000.0,0.0104824575,10.4824575,9.7838,,37000.0,0.0010714114,10.714114,,,,,,7000.0,0.00020269945,0.20269945,355000.0,0.010279758,10.279758,319000.0,0.009237303,9.237303,,,,,,,36000.0,0.0010424543,1.0424543,9.240275,25.31582166465,15.950355,0.20241567,0.05060392
2,Banana,1963,35526730.0,385000.0,0.010836911,10.836911,9.871799,,39000.0,0.001097765,10.97765,,,,,,7000.0,0.00019703475,0.19703475,378000.0,0.010639876,10.639876,340000.0,0.00957026,9.57026,,,,,,,39000.0,0.001097765,1.097765,9.556153,26.181240834078,16.497793,0.21280934,0.050668895
3,Banana,1964,36509172.0,400000.0,0.010956151,10.956151,10.0,,40000.0,0.0010956151,10.956150999999998,,,,,,10000.0,0.00027390377,0.27390377,390000.0,0.010682248,10.682248,350000.0,0.009586632,9.586632,,,,,,,40000.0,0.0010956151,1.0956150999999998,9.596199,26.290955901474003,16.562328,0.21324888,0.050773542
4,Banana,1965,37466076.0,410000.0,0.010943233,10.943233,10.25,,40000.0,0.0010676325,10.676325,,,,,,10000.0,0.00026690812,0.26690812,400000.0,0.010676325,10.676325,359000.0,0.009582002,9.582002,,,,,,,41000.0,0.0010943234,1.0943234,9.5857935,26.262447682581,16.553576,0.21392311,0.050934076
5,Banana,1966,38388220.0,415000.0,0.010810608,10.810607999999998,10.641,,39000.0,0.0010159366,10.159366,,,,,,5000.0,0.00013024829,0.13024829,410000.0,0.01068036,10.68036,369000.0,0.009612324,9.612324,,,,,,,42000.0,0.0010940856,1.0940856,9.607891,26.322988777866,16.586143,0.21487294,0.051160228
6,Banana,1967,39282564.0,430000.0,0.0109463325,10.9463325,11.0255995,,39000.0,0.0009928069,9.928069,,,,,,3000.0,7.636976e-05,0.07636976,427000.0,0.010869962,10.869962,384000.0,0.009775329,9.775329,,,,,,,43000.0,0.0010946332,1.0946332,9.782459,26.801257266234,16.880142,0.21601644,0.05143249
7,Banana,1968,40145292.0,450000.0,0.011209285,11.209285,11.5385,,39000.0,0.0009714713,9.714713,,,,,,1000.0,2.4909521e-05,0.024909521,449000.0,0.011184375,11.184375,404000.0,0.010063446,10.063446,,,,,,,45000.0,0.0011209284,1.1209284,10.068762,27.585649039212,17.384912,0.2173114,0.051740814
8,Banana,1969,41015868.0,460000.0,0.011215172,11.215172,11.5,,40000.0,0.00097523234,9.7523234,,,,,,0.0,0.0,0.0,460000.0,0.011215172,11.215172,414000.0,0.0100936545,10.0936545,,,,,,,46000.0,0.0011215172,1.1215172,10.081024,27.619243559424,17.405113,0.21847422,0.052017674
9,Banana,1970,41928850.0,465000.0,0.011090216,11.090216,11.341499,,41000.0,0.000977847,9.77847,,,,,,3000.0,7.154978e-05,0.07154978,462000.0,0.011018666,11.018666,416000.0,0.00992157,9.92157,,,,,,,47000.0,0.0011209466,1.1209466,9.920103,27.178364111778,17.12523,0.21928649,0.05221107
10,Banana,1971,42916624.0,470000.0,0.010951467,10.951467,11.190499,,42000.0,0.0009786418,9.786418,,,,,,3000.0,6.9902984e-05,0.0699029839999999,467000.0,0.010881565,10.881565,420000.0,0.009786418,9.786418,,,,,,,47000.0,0.0010951468,1.0951468,9.787116,26.814016170216,16.897415,0.21958274,0.052281607
11,Banana,1972,43906020.0,475000.0,0.0108185625,10.8185625,10.326099,,46000.0,0.0010476924,10.476924,,,,,,3000.0,6.832776e-05,0.06832776,472000.0,0.010750234,10.750234,424000.0,0.00965699,9.65699,,,,,,,48000.0,0.0010932442,1.0932442,9.660319,26.466627132594,16.672686,0.20932437,0.052331094
12,Banana,1973,44891290.0,478000.0,0.010647946,10.647946,9.9583,,48000.0,0.0010692498,10.692498,,,,,,5000.0,0.000111380185,0.111380185,473000.0,0.010536565,10.536565,425000.0,0.009467316,9.467316,,,,,,,48000.0,0.0010692498,1.0692498,9.469073,25.942665493998,16.35091,0.20949277,0.052373193
